"Project","MethodIndex","Method","Count","Tests"
"arthas","1","com.taobao.arthas.boot.DownloadUtils.saveUrl(String,String,boolean)","64","com.taobao.arthas.boot.DownloadUtilsTest.testCenterDownload [boot]"
"arthas","2","com.taobao.arthas.core.util.LogUtil.initLogger(ArthasEnvironment)","31","com.taobao.arthas.core.util.LogUtilTest.test_ARTHAS_LOG_FILE [core],com.taobao.arthas.core.util.LogUtilTest.test_ARTHAS_LOG_PATH [core],com.taobao.arthas.core.util.LogUtilTest.testArthasHome [core],com.taobao.arthas.core.util.LogUtilTest.test_DefaultLogFile [core],com.taobao.arthas.core.util.LogUtilTest.testLogConfig [core]"
"arthas","3","com.taobao.arthas.boot.DownloadUtils.openURLConnection(String)","29","com.taobao.arthas.boot.DownloadUtilsTest.testReadAllVersions [boot],com.taobao.arthas.boot.DownloadUtilsTest.testReadReleaseVersion [boot],com.taobao.arthas.boot.DownloadUtilsTest.testCenterDownload [boot]"
"arthas","4","com.taobao.arthas.core.util.ArthasBanner.openURLConnection(String)","11","com.taobao.arthas.core.advisor.EnhancerTest.test [core],com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
"arthas","5","com.taobao.arthas.core.util.Decompiler.decompileWithMappings(String,String,boolean,boolean)","7","com.taobao.arthas.core.util.DecompilerTest.test [core]"
"arthas","6","com.taobao.arthas.grpc.server.ArthasGrpcServer.start()","6","unittest.grpc.GrpcTest.testClientStreamSum [labs/arthas-grpc-server],unittest.grpc.GrpcTest.testBiStream [labs/arthas-grpc-server],unittest.grpc.GrpcTest.testServerStream [labs/arthas-grpc-server]"
"arthas","7","com.taobao.arthas.compiler.DynamicCompiler.buildByteCodes()","4","com.taobao.arthas.compiler.DynamicCompilerTest.test [memorycompiler]"
"arthas","8","com.taobao.arthas.grpc.server.handler.GrpcDispatcher.loadGrpcService(String)","3","unittest.grpc.GrpcTest.testClientStreamSum [labs/arthas-grpc-server],unittest.grpc.GrpcTest.testBiStream [labs/arthas-grpc-server]"
"arthas","9","com.taobao.arthas.core.shell.ShellServer.close()","2","com.taobao.arthas.core.advisor.EnhancerTest.test [core],com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
"arthas","10","com.taobao.arthas.compiler.DynamicJavaFileManager.list(Location,String,Set<JavaFileObject.Kind>,boolean)","2","com.taobao.arthas.compiler.DynamicCompilerTest.test [memorycompiler]"
"arthas","11","com.taobao.arthas.grpc.server.utils.ReflectUtil.findClasses(String)","1","unittest.grpc.GrpcTest.testServerStream [labs/arthas-grpc-server]"
"arthas","12","com.taobao.arthas.core.config.FeatureCodec.toMap(String)","1","com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
"arthas","13","com.taobao.arthas.core.util.ArthasBanner.latestVersion()","1","com.taobao.arthas.core.advisor.EnhancerTest.test [core]"
"arthas","14","com.taobao.arthas.core.view.ObjectView.toJsonString(Object)","1","com.taobao.arthas.core.view.ObjectViewTest.testJsonFormatDoNotCreateNewInstance [core]"
"arthas","15","com.taobao.arthas.core.server.ArthasBootstrap.initFastjson()","1","com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
"arthas","16","com.taobao.arthas.core.env.AbstractPropertyResolver.createPlaceholderHelper(boolean)","1","com.taobao.arthas.core.config.ServerPropertiesTest.test [core]"
"arthas","17","com.taobao.arthas.core.util.InstrumentationUtils.trigerRetransformClasses(Instrumentation,Collection<String>)","1","com.taobao.arthas.core.server.ArthasBootstrapTest.test [core]"
"arthas","18","com.taobao.arthas.core.command.express.OgnlExpress.get(String)","1","com.taobao.arthas.core.command.express.OgnlTest.testStringEquals [core]"
"arthas","19","com.taobao.arthas.core.env.ArthasEnvironment.getSystemEnvironment()","1","com.taobao.arthas.core.server.ArthasBootstrapTest.testConfigLocationNull [core]"
"arthas","20","com.taobao.arthas.core.shell.session.impl.SessionManagerImpl.setEvictTimer()","1","com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
"arthas","21","com.taobao.arthas.boot.DownloadUtils.formatFileSize(long)","1","com.taobao.arthas.boot.DownloadUtilsTest.testCenterDownload [boot]"
"arthas","22","com.taobao.arthas.core.util.ArthasBanner.welcome(Map<String,String>)","1","com.taobao.arthas.core.advisor.EnhancerTest.testEnhanceWithClassLoaderHash [core]"
