"Project","MethodIndex","Method","Count","Tests"
"gson","1","com.google.gson.internal.bind.DefaultDateTypeAdapter.deserializeToDate(JsonReader)","6","com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testGsonDateFormat [gson],com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithSystemLocale [gson],com.google.gson.internal.bind.DefaultDateTypeAdapterTest.testParsingDatesFormattedWithUsLocale [gson]"
"gson","2","com.google.gson.internal.NumberLimits.parseBigDecimal(String)","3","com.google.gson.functional.NumberLimitsTest.testJsonPrimitive [gson],com.google.gson.functional.NumberLimitsTest.testBigDecimalAdapter [gson]"
"gson","3","com.google.gson.internal.ConstructorConstructor.newDefaultConstructor(Class<?superT>,FilterResult)","3","com.google.gson.ObjectTypeAdapterTest.testSerializeNullValue [gson],com.google.gson.functional.JsonParserTest.testBadFieldTypeForDeserializingCustomTree [gson],com.google.gson.functional.ObjectTest.testStaticFieldDeserialization [gson]"
"gson","4","com.google.gson.internal.Excluder.excludeClass(Class<?>,boolean)","2","com.google.gson.functional.PrimitiveTest.testBadValueForBigIntegerDeserialization [gson],com.google.gson.VersionExclusionStrategyTest.testOlderVersion [gson]"
"gson","5","com.google.gson.GsonBuilder.setDateFormat(String)","2","com.google.gson.GsonBuilderTest.testSetDateFormatWithInvalidPattern [gson],com.google.gson.functional.DefaultTypeAdaptersTest.testDateSerializationInCollection [gson]"
"gson","6","com.google.gson.internal.bind.TypeAdapters.newTypeHierarchyFactory(Class<T1>,TypeAdapter<T1>)","2","com.google.gson.functional.ExposeFieldsTest.testNoExposedFieldDeserialization [gson],com.google.gson.functional.PrintFormattingTest.testJsonObjectWithNullValues [gson]"
"gson","7","com.google.gson.Gson.atomicLongArrayAdapter(TypeAdapter<Number>)","1","com.google.gson.functional.ArrayTest.testInvalidArrayDeserialization [gson]"
"gson","8","com.google.gson.internal.reflect.ReflectionHelper.isStatic(Class<?>)","1","com.google.gson.functional.ObjectTest.testNestedDeserialization [gson]"
"gson","9","com.google.gson.internal.GsonTypes.canonicalize(Type)","1","com.google.gson.reflect.TypeTokenTest.testTypeTokenTypeVariable [gson]"
"gson","10","com.google.gson.internal.bind.util.ISO8601Utils.parse(String,ParsePosition)","1","com.google.gson.internal.bind.util.ISO8601UtilsTest.testDateParseSpecialTimezone [gson]"
